"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.66100025177","10.7309999465942","10.9049997329712","10.9180002212524","10.8739995956421","10.960000038147","10.9079999923706","10.8999996185303","10.9739999771118","10.9519996643066","10.9469995498657","10.9790000915527","11.0129995346069","10.9130001068115","10.7819995880127","10.6339998245239","10.3760004043579","10.4119997024536","10.75","10.878999710083","10.875","10.8719997406006","10.8920001983643","10.7840003967285","10.6840000152588","10.5710000991821","10.4160003662109","10.2869997024536","10.331000328064","10.3649997711182",
"Angola","AGO","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.70900011062622","4.69199991226196","4.84200000762939","4.69299983978271","4.64099979400635","4.61899995803833","4.71799993515015","4.62900018692017","4.72900009155273","4.83599996566772","4.82399988174438","4.81300020217896","4.88800001144409","4.77899980545044","4.72900009155273","4.66300010681152","4.53900003433228","4.50400018692017","4.71199989318848","7.94799995422363","7.00799989700317","6.97100019454956","7.02899980545044","6.94199991226196","6.88299989700317","6.88199996948242","6.76900005340576","6.70800018310547","6.82999992370605","6.91900014877319",
"Albania","ALB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4810009002686","16.3159999847412","16.2929992675781","16.3229999542236","16.326000213623","16.4020004272461","16.5949993133545","16.2800006866455","16.3899993896484","16.3409996032715","16.2670001983643","16.3980007171631","16.3840007781982","16.2800006866455","16.1270008087158","15.8690004348755","15.6479997634888","12.548999786377","12.206000328064","12.7620000839233","13.2740001678467","14.7810001373291","17.6359996795654","19.0890007019043","17.068000793457","15.6780004501343","14.5900001525879","13.1269998550415","12.8459997177124","13.2550001144409",
"Andorra","AND","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4071412175587","11.2465738194164","11.8754656666334","11.8273746055798","12.0908400974549","11.4090628009768","10.7587805384172","10.7723018106743","10.9456541840058","11.1299650216614","10.9714056727724","10.8831295521155","10.8526038872702","9.61987266712029","9.38061203978091","8.5383937869398","8.20474266304646","7.81537485542968","7.00852876280163","6.9908812598603","8.07051581447028","8.17978517586623","8.22170257334816","8.26292025722757","8.19390895838925","7.89839873941893","8.09708821764494","7.99825853334919","7.82401188172669","7.71296650912099",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.47399997711182","1.57400000095367","1.87399995326996","1.76199996471405","1.72599995136261","1.94099998474121","1.96899998188019","2.03600001335144","2.2039999961853","2.18600010871887","2.27999997138977","2.53600001335144","2.68400001525879","2.72099995613098","2.55699992179871","2.17400002479553","1.60099995136261","1.52300000190735","1.89100003242493","2.1010000705719","2.01799988746643","1.99600005149841","2.04200005531311","1.67700004577637","1.37399995326996","1.11899995803833","1.48000001907349","1.39100003242493","1.55900001525879","1.67299997806549",
"Argentina","ARG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.23600006103516","6.1230001449585","8.40499973297119","10.2419996261597","16.4230003356934","15.6330003738403","12.7869997024536","11.6429996490479","13.2510004043579","14.0200004577637","17.4120006561279","20.1299991607666","13.7849998474121","11.8680000305176","10.0270004272461","8.39700031280518","6.98199987411499","6.5019998550415","7.77600002288818","6.66699981689453","6.2480001449585","6.08099985122681","6.11999988555908","6.4850001335144","6.96500015258789","7.15000009536743","7.52699995040894","8.22599983215332","8.9350004196167","9.64700031280518",
"Armenia","ARM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14499998092651","1.31200003623962","3.54699993133545","4.96500015258789","3.75099992752075","4.60500001907349","5.41400003433228","5.74399995803833","7.70699977874756","8.03800010681152","8.39999961853027","8.77299976348877","9.13599967956543","9.48400020599365","9.64000034332275","9.76299953460693","9.85200023651123","13.0670003890991","17.3530006408691","17.0849990844727","17.3659992218018","16.5149993896484","14.4230003356934","15.7469997406006","17.3859996795654","17.7310009002686","17.9060001373291","17.7509994506836","16.7290000915527","15.9169998168945",
"American Samoa","ASM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.88599967956543","11.3050003051758","11.5069999694824","9.98200035095215","8.74100017547607","8.71000003814697","8.58199977874756","7.94000005722046","7.03599977493286","6.45499992370605","6.97700023651123","6.53000020980835","5.88899993896484","5.28200006484985","4.88000011444092","4.66800022125244","4.04300022125244","3.95700001716614","5.69299983978271","5.07600021362305","4.89499998092651","5.13899993896484","5.70599985122681","5.99700021743774","6.03900003433228","5.65100002288818","5.52500009536743","5.2810001373291","5.21500015258789","5.2519998550415",
"Austria","AUT","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.33400011062622","3.46099996566772","4.07000017166138","3.21000003814697","3.92600011825562","5.33900022506714","5.05600023269653","5.46799993515015","4.65299987792969","4.75899982452393","3.91300010681152","5.10599994659424","5.13000011444092","5.78599977493286","5.43699979782104","4.94299983978271","4.48799991607666","3.89000010490417","5.48600006103516","4.98400020599365","4.5460000038147","4.93400001525879","5.36999988555908","5.82800006866455","6.08500003814697","6.42600011825562","5.90799999237061","5.01999998092651","4.78399991989136","4.84200000762939",
"Azerbaijan","AZE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.823000013828278","1.67900002002716","4.19999980926514","5.98600006103516","6.70900011062622","7.44799995422363","8.29199981689453","9.18599987030029","9.99300003051758","10.956000328064","10.3360004425049","9.67199993133545","9.25899982452393","7.9520001411438","7.2519998550415","6.88299989700317","7.72499990463257","7.09299993515015","4.94399976730347","4.40000009536743","4.43100023269653","4.32299995422363","4.03700017929077","4.01900005340576","4.08799982070923","4.13500022888184","4.11899995803833","4.07600021362305","4.72399997711182","5.19700002670288",
